Article ID	Weight	Quantity	Owner	Height	Width	Length	Grade	Coating	Finish
2304/52068	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52075	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52082	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52099	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52105	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52112	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52129	1108	24	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52143	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52150	2182	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52266	2184	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
2304/52136	2222	48	source2	1.5	1350.0	2850.0	DX51D	+Z140	Ma-C
