Article ID	Weight	Quantity	Owner	Height	Width	Grade	Coating	Finish
2004/25542	1730	1	source2	2.5	150.0	DC01	licht	geolied
2206/27940	1700	1	source2	2.5	1465.0	S235JR	geolied	-
2302/52583	2220	1	source2	0.57	1250.0	DX51D	+Z100	Ma-C
2207/53700	1450	1	source2	0.75	1500.0	DX51D	+Z140	Ma-C
2207/40892	1700	1	source2	0.4	1250.0	DX51D	+Z275	Ma-C
2208/32436	13800	1	source2	0.5	1250.0	DX51D	+Z275	Ma-C
2204/31998	25100	1	source2	9.99	150.0	S500MC	-	Oiled
2202/55501	10540	1	source2	2.0	107.0	S550	GD+ZM175	MAC
2303/42482	22080	1	source2	5.0	150.0	S235	-	ongeb/
2310/46181	2550	1	source2	0.75	125.0	DX51D+Z275	-	-
2305/18290	1620	1	source2	1.25	125.0	DZ51D+Z275	-	-
