Article ID	Weight	Quantity	Owner	Grade	Finish	Thickness	Width	Description
0/source1	6341	1	source1	C100S	ungebeizt, nicht geglüht	2.23	1075.0	Sollmasse (Gewicht) unterschritten
1/source1	7413	1	source1	C100S	ungebeizt, nicht geglüht	2.23	1074.0	Sollmasse (Gewicht) unterschritten
2/source1	7251	1	source1	C100S	ungebeizt, nicht geglüht	2.23	1074.0	Sollmasse (Gewicht) unterschritten
3/source1	6729	1	source1	C100S	ungebeizt, nicht geglüht	2.23	1074.0	Sollmasse (Gewicht) unterschritten
4/source1	4163	1	source1	C100S	ungebeizt, nicht geglüht	2.23	1079.0	Sollmasse (Gewicht) unterschritten
5/source1	6086	1	source1	C100S	ungebeizt, nicht geglüht	2.24	1074.0	Sollmasse (Gewicht) unterschritten
6/source1	5235	1	source1	C100S	ungebeizt, nicht geglüht	2.24	1074.0	Kantenfehler - FS-Kantenrisse
7/source1	7019	1	source1	C100S	ungebeizt, nicht geglüht	2.24	1074.0	Sollmasse (Gewicht) unterschritten
8/source1	6760	1	source1	C100S	gebeizt und geglüht	2.25	1032.0	Sollmasse (Gewicht) unterschritten
9/source1	14490	1	source1	C100S	gebeizt und geglüht	2.251	1031.5	Längs- oder Querrisse
10/source1	9120	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
11/source1	7138	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
12/source1	6615	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
13/source1	7208	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
14/source1	4714	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
15/source1	7855	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Kantenfehler - FS-Kantenrisse
16/source1	5452	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
17/source1	6679	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
18/source1	9968	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
19/source1	4853	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1039.0	Sollmasse (Gewicht) unterschritten
20/source1	9639	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1039.0	Sollmasse (Gewicht) unterschritten
21/source1	4578	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
22/source1	9889	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
23/source1	9916	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
24/source1	7320	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
25/source1	5433	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1036.0	Sollmasse (Gewicht) unterschritten
26/source1	4980	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
27/source1	5664	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
28/source1	6762	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
29/source1	8920	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
30/source1	3602	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1038.0	Sollmasse (Gewicht) unterschritten
31/source1	8092	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
32/source1	9800	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
33/source1	6050	1	source1	C100S	ungebeizt, nicht geglüht	2.28	1037.0	Sollmasse (Gewicht) unterschritten
